r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
2.1,-0.377695,-0.378036,-0.812664,-0.814935,-9.280399,-9.293296,-181.796666,-181.746770,-70.736201,-70.683206,-17.359646,-16.872979,-20.089356,-20.204914,-7.221136,-7.352931
2.2,-1.062642,-1.060828,-1.781104,-1.778593,-60.500526,-60.505048,-214.290784,-214.257673,-62.991622,-62.959108,-23.556625,-23.192864,-24.635157,-24.641745,-10.479634,-10.495813
2.3,-2.511563,-2.511136,-3.815529,-3.809983,-172.576740,-172.556409,-230.392316,-230.289719,-56.070936,-56.064436,-30.919827,-30.560829,-29.516022,-29.601010,-13.658090,-13.668276
2.4,-5.237517,-5.233146,-27.148365,-27.146481,-281.597261,-281.600365,-229.303561,-229.218863,-51.431882,-51.515060,-39.501181,-39.221274,-34.725064,-34.789725,-16.492549,-16.415274
2.5,-13.723998,-13.718803,-138.218977,-138.249693,-347.955743,-347.873003,-212.729848,-212.657569,-49.283031,-49.392462,-48.429823,-48.455831,-39.677544,-39.730322,-19.437180,-19.203498
2.6,-85.661368,-85.625472,-288.634590,-288.663442,-378.148962,-377.942928,-184.503534,-184.362912,-51.201510,-51.448824,-58.266798,-58.395438,-45.036647,-45.044790,-22.429890,-22.050828
2.7,-264.711214,-264.629247,-391.799973,-391.803594,-380.578423,-380.314631,-152.571488,-152.384859,-56.116764,-56.289123,-68.957347,-69.222610,-50.246068,-50.088249,-25.430631,-24.946593
2.8,-440.294045,-440.208001,-446.238149,-446.316363,-355.916116,-355.612514,-124.385985,-124.121007,-64.378060,-64.553034,-79.974233,-80.432525,-54.985320,-54.865338,-28.811053,-28.196402
2.9,-578.735698,-578.631795,-470.877398,-471.004569,-305.275424,-304.989718,-105.150301,-104.839729,-74.380492,-74.552272,-90.817013,-91.403046,-59.445719,-59.407513,-32.338442,-31.595378
3,-708.188158,-708.018176,-467.228182,-467.494087,-240.395541,-240.145434,-94.604469,-94.307876,-87.358014,-87.444782,-101.621915,-102.387647,-63.811728,-63.794758,-35.996381,-35.142281
3.1,-812.763695,-812.668348,-432.027767,-432.263707,-182.291288,-182.140384,-91.735511,-91.388997,-102.364025,-102.287992,-111.330236,-112.353452,-67.683373,-67.677489,-39.975680,-39.408781
3.2,-838.205254,-838.136136,-375.164787,-375.396350,-144.436918,-144.370654,-94.918988,-94.477964,-118.437594,-118.194637,-119.827604,-120.776131,-71.028017,-71.144684,-44.051976,-43.602350
3.3,-773.142364,-773.069492,-330.258333,-330.565748,-126.969017,-126.954201,-103.566826,-103.247057,-134.533047,-134.216533,-126.003683,-126.959307,-74.407621,-74.305355,-48.679371,-48.210689
3.4,-651.362999,-651.341539,-332.636538,-332.616101,-125.863005,-125.907266,-116.604327,-116.457165,-151.016782,-150.731546,-130.456811,-131.003326,-78.191707,-77.816991,-53.102817,-52.759395
3.5,-516.720868,-516.734396,-376.669140,-376.145648,-140.326440,-140.593822,-134.686378,-134.781515,-165.944323,-165.737367,-132.928556,-133.246478,-81.900449,-81.593239,-57.749037,-57.394131
3.6,-393.359690,-393.393405,-422.229244,-421.745001,-172.156408,-172.259646,-155.994530,-156.114442,-179.270821,-178.998295,-133.266669,-133.337698,-86.321442,-86.063919,-62.922656,-62.472964
3.7,-288.483799,-288.565025,-437.363716,-437.090894,-220.638592,-220.763308,-180.798646,-181.031051,-190.834179,-190.434767,-133.334275,-132.941803,-91.010330,-90.846789,-68.566650,-68.196807
3.8,-205.528263,-205.675021,-418.583402,-418.345870,-278.574027,-278.773241,-208.302891,-208.352364,-200.255705,-199.920866,-132.843213,-132.316131,-96.374283,-96.436900,-73.592475,-73.507516
