r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
12.9,9.058759,9.092863,8.626389,8.621305,8.956499,8.944214,8.098008,8.173537,7.702986,7.991059,8.104806,8.126884,8.197731,8.227120,8.390088,8.276995
13,8.583054,8.582212,8.186860,8.154093,8.400639,8.483584,7.979696,8.033778,7.275554,7.486623,7.969767,7.983417,7.846759,7.917625,7.943849,7.909834
13.1,7.886955,7.862111,7.446177,7.430968,8.310539,8.389519,7.766916,7.750531,7.392563,7.580463,7.941392,7.900003,7.609444,7.742338,7.312073,7.364629
13.2,7.476796,7.448518,6.759117,6.757708,7.880218,7.990323,7.084124,7.008087,6.805967,6.916666,7.811015,7.740330,7.068473,7.188225,7.044377,7.063392
13.3,7.062062,7.020332,6.095411,6.107014,7.660126,7.803154,6.971495,6.865267,6.545961,6.612523,7.267322,7.212574,6.353803,6.499614,6.916318,6.947873
13.4,6.539057,6.492128,5.661945,5.640222,7.178676,7.324485,6.948063,6.887118,6.662599,6.712838,7.085731,6.966002,5.665517,5.780820,7.094995,7.081711
13.5,6.175349,6.137775,5.691022,5.639796,6.518794,6.628112,7.034897,6.956271,6.707582,6.815961,6.667344,6.589409,5.406746,5.473324,7.082929,6.992595
13.6,6.145738,6.124404,5.723131,5.666160,5.951087,6.067174,6.810897,6.764806,6.509948,6.552377,6.743180,6.634911,5.688800,5.666597,7.080884,7.025914
13.7,6.175553,6.173438,5.851576,5.784145,5.629309,5.731575,6.357285,6.360783,6.681724,6.721349,6.674999,6.575941,5.600518,5.574966,7.087877,7.203528
13.8,5.998037,6.008872,6.163228,6.090111,6.028558,6.128161,6.623954,6.633000,6.793319,6.821282,6.583200,6.475008,6.025231,6.015272,7.376567,7.465489
13.9,6.658847,6.668861,6.720863,6.653625,6.591637,6.690725,6.930224,6.958263,7.359662,7.360821,6.829854,6.653035,6.290692,6.317262,7.330420,7.330824
14,7.367139,7.388105,7.421239,7.351253,7.263209,7.367489,7.314641,7.357659,7.434978,7.387727,7.192138,7.032992,6.923960,6.824786,7.526091,7.407224
14.1,8.298677,8.322507,8.466649,8.381755,7.811152,7.874045,7.775535,7.822357,7.895304,7.805355,8.124006,7.969787,7.834289,7.697978,7.731947,7.686278
14.2,9.018775,9.055542,9.514424,9.467227,8.658418,8.703396,8.627843,8.670923,8.928520,8.792264,8.907146,8.772455,8.772116,8.643396,8.123042,8.083633
14.3,9.964037,9.992827,10.239031,10.208548,9.809504,9.857862,9.761942,9.794207,9.688806,9.540125,9.832790,9.689641,10.082596,9.899340,9.022315,8.944633
14.4,10.963512,11.005824,11.179577,11.179472,10.834408,10.812574,10.607857,10.622103,10.904960,10.794425,11.206300,11.096342,11.656048,11.447864,9.853658,9.721987
14.5,12.142465,12.178288,12.180310,12.193439,11.473926,11.410001,12.154939,12.135063,12.439144,12.373091,12.653803,12.562063,12.861827,12.625883,11.256799,11.143016
14.6,13.371662,13.401414,13.598736,13.609126,12.799718,12.696686,13.010559,13.036562,13.671299,13.614897,13.750877,13.713565,14.112189,13.971782,12.183349,12.048421
14.7,14.489408,14.506311,14.611410,14.654024,13.884584,13.772496,13.999811,13.979941,14.836838,14.816067,14.957454,14.918785,14.929976,14.902588,13.646948,13.501303
14.8,15.539294,15.530904,15.351324,15.387156,14.597914,14.451018,15.171599,15.155063,15.845604,15.842080,15.411546,15.451894,16.042336,15.953299,15.038758,14.864777
14.9,16.290645,16.284498,15.872491,15.913580,15.464178,15.358954,15.942136,15.957149,16.849095,16.871810,15.846032,15.842727,16.837333,16.725832,16.241844,16.125332
15,16.477335,16.479377,16.325356,16.365162,15.878902,15.802001,16.486896,16.490696,16.985094,17.042316,16.532900,16.538431,17.106574,17.081622,16.482277,16.516309
