r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
2.1,0.009096,0.007933,0.067499,0.056157,0.587955,0.500406,4.217881,3.681532,16.413935,14.370254,-6.634263,-5.250036,-6.331658,-4.746249,-2.128242,-1.149625
2.2,0.069988,0.058832,0.233073,0.197020,1.242302,1.066901,6.781291,5.911087,17.135139,15.018886,-8.774857,-7.092047,-5.795877,-4.224100,-1.327096,-0.394318
2.3,0.298303,0.253032,0.627956,0.536429,2.385206,2.048631,10.240247,8.943155,16.724723,14.700751,-10.302533,-8.394720,-5.230959,-3.744821,-0.285014,0.569615
2.4,0.865094,0.736171,1.439072,1.231612,4.302025,3.708904,14.441792,12.614647,15.100757,13.287800,-11.047940,-9.013695,-4.149218,-2.750244,0.839634,1.579129
2.5,2.144162,1.835414,2.849797,2.441575,7.251699,6.266621,18.671496,16.306606,12.228174,10.834399,-11.086559,-9.010277,-2.751605,-1.541998,1.932084,2.426497
2.6,4.489712,3.882238,5.373162,4.621780,11.617297,10.067913,22.164416,19.402741,8.796647,7.846542,-10.731013,-8.665071,-0.968149,0.061078,2.824087,3.168263
2.7,8.618745,7.533820,9.452031,8.143395,17.476601,15.173055,24.526612,21.509043,5.115667,4.646918,-9.212255,-7.275865,1.269726,2.047578,3.650697,3.805587
2.8,15.613844,13.762055,15.854736,13.697533,24.178623,21.034639,25.065492,21.997895,1.907186,1.838353,-7.229990,-5.407922,3.492270,3.941526,4.159207,4.166279
2.9,26.766751,23.801086,25.127563,21.783705,30.737374,26.799134,23.912151,21.020334,-1.083439,-0.791111,-4.658233,-3.020885,5.843814,6.007813,4.479300,4.281801
3,43.001803,38.575236,36.852429,32.070243,35.911649,31.360557,21.738635,19.190795,-2.915911,-2.308134,-1.372831,0.004376,8.160240,7.921474,4.550057,4.200368
3.1,63.050556,57.154826,49.254830,43.012626,38.840094,34.004504,19.042120,16.893418,-3.824041,-2.974586,2.597816,3.645291,10.225715,9.564671,4.163412,3.772172
3.2,82.485379,75.809532,60.029167,52.634083,40.007954,35.155829,16.557321,14.805166,-3.919594,-2.927748,6.943289,7.526033,11.621760,10.556237,3.937078,3.410952
3.3,95.769385,89.681454,67.601725,59.589510,39.620995,34.916333,14.362284,12.915130,-2.702485,-1.739004,11.512541,11.547410,12.663603,11.315842,3.338908,2.826974
3.4,99.620249,95.675402,71.675463,63.599163,38.932026,34.385487,12.947625,11.671524,-0.076248,0.678647,15.804033,15.156725,12.958280,11.274309,2.866757,2.471758
3.5,93.153615,92.334495,71.181901,63.914192,37.106757,32.915145,12.716556,11.547920,3.258855,3.684925,19.381769,17.991317,12.450431,10.581742,2.043935,1.728019
3.6,79.346273,81.732344,66.856137,61.296881,34.729250,30.884542,12.664786,11.542982,6.931571,7.060159,22.178572,20.013762,11.363668,9.442417,1.264655,1.110477
3.7,60.266956,65.229528,58.883001,55.764764,32.950590,29.445494,13.246688,12.086418,10.769631,10.419263,23.672345,20.823865,9.923080,7.975241,1.045386,1.048847
3.8,37.350293,43.714300,47.957941,48.112913,30.461177,27.487233,14.546979,13.273434,14.428820,13.538709,23.235678,19.829836,8.472643,6.717619,1.132279,1.210961
3.9,13.676943,20.440755,33.997022,37.905018,27.872668,25.548798,15.891281,14.463036,17.732365,16.231258,21.943787,18.083825,6.685600,5.223221,1.086482,1.286044
4,-8.106669,-1.849538,19.578833,26.934459,25.046988,23.523519,17.254178,15.478297,20.198685,18.058969,19.210210,15.376774,5.097776,3.874995,1.541395,1.749817
4.1,-26.615282,-21.377216,4.810187,14.714978,21.440817,21.140946,17.796518,15.841596,21.385701,18.827620,16.057990,12.578285,4.074828,2.985239,2.352985,2.541111
4.2,-40.155938,-36.159003,-8.010342,3.159888,16.339533,17.863220,17.993422,15.920581,21.406079,18.567650,12.921836,9.867124,3.493631,2.725930,3.099494,3.133246
